zip,business_name,address,city,phone,price,cuisine,state,pageUrl,item_price/_source,item_price,item_price2/_source,item_name,category,item_price/_currency,item_name2,item_price2/_currency,item_price2
"60640","Iyanze Bolat West African Flair","4623 N. Broadway (N Broadway between W Leland Ave. & W Wilson Ave.)","Chicago","(773) 944-1417","$$","African","IL","http://www.seamless.com/food-delivery/iyanze-bolat-west-african-flair-chicago.16563.r",,,,,,,,,
,,,,,,,,"http://www.seamless.com/food-delivery/iyanze-bolat-west-african-flair-chicago.16563.r","$2.00; $4.50; $1.99","2; 4.5; 1.99","$4.50; $1.99","Soda; Honey Bush Tea; Tropicana","Beverages","USD; USD; USD","Hibiscus Tea/ Bissap; Snapple","USD; USD","4.5; 1.99"
,,,,,,,,"http://www.seamless.com/food-delivery/iyanze-bolat-west-african-flair-chicago.16563.r","$2.49; $1.75; $5.99; $3.39","2.49; 1.75; 5.99; 3.39","$12.00; $1.50; $2.89; $1.99","Suya; Meat Pie; Dundun; Gizzard on the Stick","Appetizers","USD; USD; USD; USD","Stewed Snail; Sausage Roll; Scotch Egg; Chicken Pie","USD; USD; USD; USD","12; 1.5; 2.89; 1.99"
,,,,,,,,"http://www.seamless.com/food-delivery/iyanze-bolat-west-african-flair-chicago.16563.r","$4.49; $2.99; $4.50; $5.99","4.49; 2.99; 4.5; 5.99","$4.49; $2.99; $7.50; $4.99","Egusi and Efo Soup; Okra Soup; Ogbono Soup; Peanut Soup","Soups","USD; USD; USD; USD","Efo Soup; Ewedu; Ayamashe Soup; Pepper Soup","USD; USD; USD; USD","4.49; 2.99; 7.5; 4.99"
,,,,,,,,"http://www.seamless.com/food-delivery/iyanze-bolat-west-african-flair-chicago.16563.r","$4.99; $1.89","4.99; 1.89","$2.50","Jerk Chicken; Stewed Chicken in Tomato Sauce","Chicken","USD; USD","Fried Chicken","USD","2.5"
,,,,,,,,"http://www.seamless.com/food-delivery/iyanze-bolat-west-african-flair-chicago.16563.r","$3.59; $9.99; $2.20; $10.99","3.59; 9.99; 2.2; 10.99","$3.59; $9.99; $11.99","Tilapia; Whole Tilapia; Fried Whiten; Smoked Fish","Fish","USD; USD; USD; USD","Catfish; Whole Catfish; Stock Fish","USD; USD; USD","3.59; 9.99; 11.99"
,,,,,,,,"http://www.seamless.com/food-delivery/iyanze-bolat-west-african-flair-chicago.16563.r","$3.09; $1.99; $3.69","3.09; 1.99; 3.69","$2.59; $3.09","Goat; Cowleg; Oxtail","Meat","USD; USD; USD","Shaki; Goat with Skin","USD; USD","2.59; 3.09"
,,,,,,,,"http://www.seamless.com/food-delivery/iyanze-bolat-west-african-flair-chicago.16563.r","$5.99; $5.99; $5.99; $5.99","5.99; 5.99; 5.99; 5.99","$4.99; $5.99; $9.99","Jollof Rice; Fried Rice; Rice Combo; Coconut Rice","Rice","USD; USD; USD; USD","Steamed Rice; Red Rice & Beans; Red Rice, Beans & Jerk Chicken","USD; USD; USD","4.99; 5.99; 9.99"
,,,,,,,,"http://www.seamless.com/food-delivery/iyanze-bolat-west-african-flair-chicago.16563.r","$2.49; $2.49; $1.99","2.49; 2.49; 1.99","$2.49; $1.99","Iyan; Eba; Banku","Fufu","USD; USD; USD","Amala; Kenke","USD; USD","2.49; 1.99"
,,,,,,,,"http://www.seamless.com/food-delivery/iyanze-bolat-west-african-flair-chicago.16563.r","$2.99; $3.99","2.99; 3.99","$3.99; $3.99","Steamed Beans; Bean Casserole","Beans","USD; USD","Mashed Beans; Bean & Corn","USD; USD","3.99; 3.99"
